id,cruise,cdate,age,date_at_age,clength,bclength
ML50004,MEN0503,2/15/2006,0,12/21/2005,34.5,3.6
ML50004,MEN0503,2/15/2006,3,12/22/2005,34.5,4.105531366
ML50004,MEN0503,2/15/2006,4,12/23/2005,34.5,4.743401106
ML50004,MEN0503,2/15/2006,5,12/24/2005,34.5,5.390089322
ML50004,MEN0503,2/15/2006,6,12/25/2005,34.5,5.714658219
ML50004,MEN0503,2/15/2006,7,12/26/2005,34.5,6.057598939
ML50004,MEN0503,2/15/2006,8,12/27/2005,34.5,6.440957673
ML50004,MEN0503,2/15/2006,9,12/28/2005,34.5,6.871470757
ML50004,MEN0503,2/15/2006,10,12/29/2005,34.5,7.320049467
ML50004,MEN0503,2/15/2006,11,12/30/2005,34.5,7.7453572
ML50004,MEN0503,2/15/2006,12,12/31/2005,34.5,8.337542337
ML50004,MEN0503,2/15/2006,13,1/1/2006,34.5,8.673746723
ML50004,MEN0503,2/15/2006,14,1/2/2006,34.5,9.140697257
ML50004,MEN0503,2/15/2006,15,1/3/2006,34.5,9.559574852
ML50004,MEN0503,2/15/2006,16,1/4/2006,34.5,10.00662258
ML50004,MEN0503,2/15/2006,17,1/5/2006,34.5,10.41019032
ML50004,MEN0503,2/15/2006,18,1/6/2006,34.5,10.80059158
ML50004,MEN0503,2/15/2006,19,1/7/2006,34.5,11.40931136
ML50004,MEN0503,2/15/2006,20,1/8/2006,34.5,11.89402133
ML50004,MEN0503,2/15/2006,21,1/9/2006,34.5,12.31596089
ML50004,MEN0503,2/15/2006,22,1/10/2006,34.5,12.80067086
ML50004,MEN0503,2/15/2006,23,1/11/2006,34.5,13.16657636
ML50004,MEN0503,2/15/2006,24,1/12/2006,34.5,13.59188409
ML50004,MEN0503,2/15/2006,25,1/13/2006,34.5,14.05638505
ML50004,MEN0503,2/15/2006,26,1/14/2006,34.5,14.54721896
ML50004,MEN0503,2/15/2006,27,1/15/2006,34.5,14.93517065
ML50004,MEN0503,2/15/2006,28,1/16/2006,34.5,15.37303246
ML50004,MEN0503,2/15/2006,29,1/17/2006,34.5,15.76404612
ML50004,MEN0503,2/15/2006,30,1/18/2006,34.5,16.0800415
ML50004,MEN0503,2/15/2006,31,1/19/2006,34.5,16.60516948
ML50004,MEN0503,2/15/2006,32,1/20/2006,34.5,17.09049184
ML50004,MEN0503,2/15/2006,33,1/21/2006,34.5,17.53753956
ML50004,MEN0503,2/15/2006,34,1/22/2006,34.5,18.07552782
ML50004,MEN0503,2/15/2006,35,1/23/2006,34.5,18.70078224
ML50004,MEN0503,2/15/2006,36,1/24/2006,34.5,19.1652832
ML50004,MEN0503,2/15/2006,37,1/25/2006,34.5,19.79053762
ML50004,MEN0503,2/15/2006,38,1/26/2006,34.5,20.37874219
ML50004,MEN0503,2/15/2006,39,1/27/2006,34.5,21.00675239
ML50004,MEN0503,2/15/2006,40,1/28/2006,34.5,21.38704915
ML50004,MEN0503,2/15/2006,41,1/29/2006,34.5,21.95902528
ML50004,MEN0503,2/15/2006,42,1/30/2006,34.5,22.74993232
ML50004,MEN0503,2/15/2006,43,1/31/2006,34.5,23.53410302
ML50004,MEN0503,2/15/2006,44,2/1/2006,34.5,24.55649504
ML50004,MEN0503,2/15/2006,45,2/2/2006,34.5,25.20563284
ML50004,MEN0503,2/15/2006,46,2/3/2006,34.5,26.19832374
ML50004,MEN0503,2/15/2006,47,2/4/2006,34.5,27.2485797
ML50004,MEN0503,2/15/2006,48,2/5/2006,34.5,27.85301272
ML50004,MEN0503,2/15/2006,49,2/6/2006,34.5,28.63350906
ML50004,MEN0503,2/15/2006,50,2/7/2006,34.5,29.89779677
ML50004,MEN0503,2/15/2006,51,2/8/2006,34.5,30.83445361
ML50004,MEN0503,2/15/2006,52,2/9/2006,34.5,31.47232335
ML50004,MEN0503,2/15/2006,53,2/10/2006,34.5,32.02684625
ML50004,MEN0503,2/15/2006,54,2/11/2006,34.5,32.83918708
ML50004,MEN0503,2/15/2006,55,2/12/2006,34.5,33.35114859
ML50004,MEN0503,2/15/2006,56,2/15/2006,34.5,34.5
ML50005,MEN0503,2/15/2006,0,12/22/2005,30,3.6
ML50005,MEN0503,2/15/2006,3,12/23/2005,30,4.188217418
ML50005,MEN0503,2/15/2006,4,12/24/2005,30,4.524341657
ML50005,MEN0503,2/15/2006,5,12/25/2005,30,4.884672374
ML50005,MEN0503,2/15/2006,6,12/26/2005,30,5.246732125
ML50005,MEN0503,2/15/2006,7,12/27/2005,30,5.474618827
ML50005,MEN0503,2/15/2006,8,12/28/2005,30,5.834811221
ML50005,MEN0503,2/15/2006,9,12/29/2005,30,6.219694223
ML50005,MEN0503,2/15/2006,10,12/30/2005,30,6.654719215
ML50005,MEN0503,2/15/2006,11,12/31/2005,30,7.135044902
ML50005,MEN0503,2/15/2006,12,1/1/2006,30,7.53133953
ML50005,MEN0503,2/15/2006,13,1/2/2006,30,7.929017385
ML50005,MEN0503,2/15/2006,14,1/3/2006,30,8.469305976
ML50005,MEN0503,2/15/2006,15,1/4/2006,30,8.938911652
ML50005,MEN0503,2/15/2006,16,1/5/2006,30,9.371170189
ML50005,MEN0503,2/15/2006,17,1/6/2006,30,9.69726603
ML50005,MEN0503,2/15/2006,18,1/7/2006,30,10.06969999
ML50005,MEN0503,2/15/2006,19,1/8/2006,30,10.4905469
ML50005,MEN0503,2/15/2006,20,1/9/2006,30,10.74264008
ML50005,MEN0503,2/15/2006,21,1/10/2006,30,11.07980174
ML50005,MEN0503,2/15/2006,22,1/11/2006,30,11.35610139
ML50005,MEN0503,2/15/2006,23,1/12/2006,30,11.71629379
ML50005,MEN0503,2/15/2006,24,1/13/2006,30,12.00435088
ML50005,MEN0503,2/15/2006,25,1/14/2006,30,12.29482862
ML50005,MEN0503,2/15/2006,26,1/15/2006,30,12.69112324
ML50005,MEN0503,2/15/2006,27,1/16/2006,30,13.05214557
ML50005,MEN0503,2/15/2006,28,1/17/2006,30,13.4484402
ML50005,MEN0503,2/15/2006,29,1/18/2006,30,13.88208197
ML50005,MEN0503,2/15/2006,30,1/19/2006,30,14.24227436
ML50005,MEN0503,2/15/2006,31,1/20/2006,30,14.63856899
ML50005,MEN0503,2/15/2006,32,1/21/2006,30,15.00062874
ML50005,MEN0503,2/15/2006,33,1/22/2006,30,15.5048151
ML50005,MEN0503,2/15/2006,34,1/23/2006,30,15.89073552
ML50005,MEN0503,2/15/2006,35,1/24/2006,30,16.27561852
ML50005,MEN0503,2/15/2006,36,1/25/2006,30,16.66015572
ML50005,MEN0503,2/15/2006,37,1/26/2006,30,17.49078372
ML50005,MEN0503,2/15/2006,38,1/27/2006,30,17.69792202
ML50005,MEN0503,2/15/2006,39,1/28/2006,30,17.94067841
